num,sitename,lon,lat
1,WMO01001,-8.67,70.93
2,WMO01004,11.93,78.92
3,WMO01008,15.47,78.25
4,WMO01010,16.15,69.30
5,WMO01015,17.83,69.60
6,WMO01017,18.08,69.35
7,WMO01023,18.55,69.05
8,WMO01025,18.92,69.68
9,WMO01028,19.02,74.52
10,WMO01032,19.28,69.02
11,WMO01035,19.98,69.25
12,WMO01041,21.03,69.75
13,WMO01043,21.47,70.33
14,WMO01045,21.90,69.83
15,WMO01047,23.07,69.02
16,WMO01049,23.37,69.98
17,WMO01051,23.53,69.58
18,WMO01053,23.67,70.68
19,WMO01055,24.00,71.10
20,WMO01057,24.43,69.37
21,WMO01059,24.98,70.07
22,WMO01061,25.12,70.07
23,WMO01062,25.07,76.50
24,WMO01063,25.22,70.45
25,WMO01065,25.50,69.47
26,WMO01066,26.23,71.07
27,WMO01067,26.42,69.90
28,WMO01075,28.20,70.40
29,WMO01078,28.23,71.08
30,WMO01084,29.25,69.17
31,WMO01085,29.37,69.85
32,WMO01089,29.90,69.73
33,WMO01092,30.08,70.70
34,WMO01098,31.10,70.37
35,WMO01102,11.00,65.20
36,WMO01103,11.70,65.10
37,WMO01106,12.08,67.50
38,WMO01115,12.48,66.77
39,WMO01121,12.62,66.40
40,WMO01134,13.42,65.18
41,WMO01145,13.97,68.35
42,WMO01147,14.02,65.52
43,WMO01149,13.98,66.27
44,WMO01152,14.37,67.27
45,WMO01155,14.47,68.63
46,WMO01160,14.65,68.15
47,WMO01168,15.28,68.65
48,WMO01169,15.30,66.97
49,WMO01170,15.32,67.23
50,WMO01172,15.62,68.00
51,WMO01176,16.27,68.57
52,WMO01182,16.58,68.58
53,WMO01191,17.32,68.28
54,WMO01194,17.50,68.47
55,WMO01196,17.82,68.75
56,WMO01199,23.53,68.75
57,WMO01205,5.27,62.33
58,WMO01210,6.12,62.57
59,WMO01212,6.53,62.87
60,WMO01215,7.12,62.98
61,WMO01216,7.22,62.62
62,WMO01218,7.42,62.23
63,WMO01225,8.07,63.42
64,WMO01227,8.30,62.85
65,WMO01228,8.45,63.85
66,WMO01231,8.37,62.23
67,WMO01232,9.00,63.20
68,WMO01238,9.28,62.12
69,WMO01241,9.60,63.70
70,WMO01245,9.68,62.60
71,WMO01259,10.47,64.40
72,WMO01265,10.85,62.30
73,WMO01271,10.93,63.47
74,WMO01274,11.12,63.20
75,WMO01277,11.23,63.72
76,WMO01280,11.22,64.22
77,WMO01288,11.38,62.57
78,WMO01292,11.70,63.45
79,WMO01295,12.27,64.60
80,WMO01298,13.72,64.45
81,WMO01306,4.72,60.75
82,WMO01309,4.80,61.57
83,WMO01311,5.22,60.30
84,WMO01316,5.32,60.40
85,WMO01317,5.33,60.38
86,WMO01319,5.38,61.03
87,WMO01321,5.65,61.88
88,WMO01322,5.85,61.47
89,WMO01325,5.93,60.83
90,WMO01328,5.92,60.40
91,WMO01330,5.98,60.22
92,WMO01336,6.50,60.65
93,WMO01339,6.65,61.17
94,WMO01341,6.87,60.47
95,WMO01344,6.75,60.68
96,WMO01345,6.75,61.87
97,WMO01351,7.52,60.60
98,WMO01355,7.52,61.07
99,WMO01357,7.70,61.50
100,WMO01360,7.87,61.90
101,WMO01364,8.22,60.52
102,WMO01366,8.00,61.57
103,WMO01370,9.38,61.52
104,WMO01371,9.07,61.12
105,WMO01372,9.13,60.57
106,WMO01379,10.15,61.88
107,WMO01380,9.97,61.17
108,WMO01383,11.15,61.40
109,WMO01384,11.08,60.20
110,WMO01389,11.45,61.17
111,WMO01391,12.02,60.62
112,WMO01393,12.05,61.88
113,WMO01403,4.88,59.30
114,WMO01406,5.07,59.92
115,WMO01412,5.55,58.65
116,WMO01415,5.63,58.88
117,WMO01418,5.77,59.85
118,WMO01423,6.07,59.18
119,WMO01424,6.37,59.65
120,WMO01425,6.35,58.55
121,WMO01427,6.57,58.12
122,WMO01432,6.85,58.88
123,WMO01433,6.98,59.83
124,WMO01436,7.05,57.98
125,WMO01439,7.32,58.25
126,WMO01440,7.50,59.10
127,WMO01442,7.80,58.67
128,WMO01445,8.05,59.37
129,WMO01446,8.27,59.63
130,WMO01448,8.05,58.07
131,WMO01452,8.08,58.20
132,WMO01455,8.52,59.03
133,WMO01459,8.63,58.65
134,WMO01465,8.80,58.40
135,WMO01467,9.15,58.63
136,WMO01470,9.18,59.38
137,WMO01474,9.53,59.90
138,WMO01476,9.60,58.87
139,WMO01477,9.65,59.67
140,WMO01478,9.77,58.98
141,WMO01481,10.52,59.32
142,WMO01482,10.53,59.03
143,WMO01483,10.27,59.20
144,WMO01484,10.60,59.43
145,WMO01488,10.62,59.90
146,WMO01490,10.67,59.98
147,WMO01494,10.78,59.38
148,WMO01496,11.45,59.72
149,WMO01497,11.53,59.00
150,WMO02020,18.17,68.42
151,WMO02032,19.72,68.22
152,WMO02036,19.03,67.85
153,WMO02044,20.33,67.82
154,WMO02048,20.67,67.17
155,WMO02060,21.53,68.68
156,WMO02086,22.35,67.77
157,WMO02096,23.42,67.20
158,WMO02104,15.10,65.82
159,WMO02108,14.80,65.07
160,WMO02112,16.35,66.57
161,WMO02120,17.75,66.95
162,WMO02124,17.87,66.03
163,WMO02128,17.68,65.02
164,WMO02142,19.83,66.60
165,WMO02144,19.10,65.90
166,WMO02156,20.22,65.30
167,WMO02164,21.63,66.38
168,WMO02186,22.13,65.55
169,WMO02196,24.15,65.83
170,WMO02200,12.95,64.05
171,WMO02206,12.12,63.30
172,WMO02222,14.13,64.50
173,WMO02226,14.50,63.18
174,WMO02232,15.63,64.43
175,WMO02234,15.58,63.87
176,WMO02248,16.17,63.17
177,WMO02254,17.37,64.17
178,WMO02259,17.77,63.05
179,WMO02262,18.65,64.58
180,WMO02276,19.50,63.57
181,WMO02278,19.02,63.18
182,WMO02286,20.28,63.80
183,WMO02288,20.77,63.60
184,WMO02296,21.58,64.48
185,WMO02304,12.27,61.85
186,WMO02306,12.82,61.13
187,WMO02310,13.07,62.80
188,WMO02316,13.13,61.68
189,WMO02324,14.37,62.03
190,WMO02336,15.83,61.38
191,WMO02342,16.20,62.52
192,WMO02366,17.45,62.53
193,WMO02376,17.10,61.27
194,WMO02400,12.68,60.33
195,WMO02404,12.58,59.67
196,WMO02406,12.05,59.28
197,WMO02410,13.72,60.68
198,WMO02412,13.80,60.15
199,WMO02418,13.47,59.37
200,WMO02428,14.37,59.10
201,WMO02436,15.33,59.27
202,WMO02444,16.32,60.17
203,WMO02446,16.63,59.58
204,WMO02458,17.60,59.88
205,WMO02460,17.95,59.65
206,WMO02464,17.95,59.35
207,WMO02474,18.75,60.17
208,WMO02496,19.50,59.45
209,WMO02504,11.55,58.57
210,WMO02508,11.35,58.10
211,WMO02512,11.88,57.78
212,WMO02520,12.70,58.43
213,WMO02524,13.07,57.93
214,WMO02526,12.30,57.67
215,WMO02530,13.25,58.90
216,WMO02541,14.90,58.97
217,WMO02544,14.53,58.52
218,WMO02550,14.08,57.77
219,WMO02555,14.70,57.65
220,WMO02556,14.13,57.30
221,WMO02562,15.52,58.40
222,WMO02564,15.22,58.03
223,WMO02566,15.83,57.40
224,WMO02570,16.12,58.62
225,WMO02576,16.47,57.72
226,WMO02582,17.87,58.75
227,WMO02584,19.20,58.40
228,WMO02586,17.02,58.25
229,WMO02588,19.17,57.90
230,WMO02590,18.35,57.67
231,WMO02592,17.10,57.37
232,WMO02606,12.45,56.30
233,WMO02607,12.85,56.30
234,WMO02616,12.82,55.38
235,WMO02622,13.92,56.83
236,WMO02624,13.65,56.47
237,WMO02626,13.95,56.37
238,WMO02630,13.23,56.08
239,WMO02636,13.37,55.55
240,WMO02638,13.35,55.33
241,WMO02639,13.83,55.43
242,WMO02640,14.80,56.87
243,WMO02650,14.85,56.02
244,WMO02654,14.27,55.67
245,WMO02664,15.28,56.27
246,WMO02666,15.80,56.03
247,WMO02672,16.30,56.73
248,WMO02680,18.15,56.92
249,WMO02801,20.78,69.05
250,WMO02805,27.03,69.75
251,WMO02807,27.42,68.62
252,WMO02823,23.68,67.97
253,WMO02836,26.65,67.37
254,WMO02844,24.00,66.80
255,WMO02845,25.83,66.57
256,WMO02848,28.67,66.82
257,WMO02864,24.58,65.78
258,WMO02867,27.02,65.37
259,WMO02869,29.18,65.97
260,WMO02874,24.80,65.03
261,WMO02875,25.37,64.93
262,WMO02879,29.02,64.90
263,WMO02897,27.68,64.28
264,WMO02901,22.58,63.73
265,WMO02903,23.15,63.72
266,WMO02905,24.97,63.92
267,WMO02910,21.07,63.43
268,WMO02911,21.77,63.05
269,WMO02913,23.03,63.10
270,WMO02915,25.85,63.07
271,WMO02917,27.80,63.02
272,WMO02919,30.95,62.68
273,WMO02921,21.10,62.88
274,WMO02924,24.22,62.55
275,WMO02929,29.63,62.67
276,WMO02935,25.68,62.40
277,WMO02942,22.47,61.85
278,WMO02944,23.58,61.42
279,WMO02945,24.80,61.85
280,WMO02947,27.30,61.73
281,WMO02949,29.33,61.80
282,WMO02952,21.80,61.47
283,WMO02958,28.15,61.08
284,WMO02961,21.37,61.13
285,WMO02963,23.50,60.82
286,WMO02965,25.63,60.95
287,WMO02966,26.93,60.90
288,WMO02970,19.90,60.12
289,WMO02972,22.27,60.52
290,WMO02973,23.77,60.40
291,WMO02974,24.97,60.32
292,WMO02976,26.97,60.37
293,WMO02980,19.95,59.97
294,WMO02981,21.38,59.78
295,WMO02982,22.95,59.77
296,WMO02984,24.02,59.93
297,WMO02986,24.92,60.10
298,WMO03005,-1.18,60.13
299,WMO03008,-1.63,59.53
300,WMO03017,-2.90,58.95
301,WMO03022,-7.37,57.47
302,WMO03026,-6.32,58.22
303,WMO03066,-3.57,57.65
304,WMO03068,-3.33,57.72
305,WMO03075,-3.08,58.45
306,WMO03091,-2.20,57.20
307,WMO03093,-2.00,57.70
308,WMO03100,-6.88,56.50
309,WMO03106,-6.13,55.92
310,WMO03135,-4.58,55.50
311,WMO03140,-4.43,55.87
312,WMO03160,-3.35,55.95
313,WMO03162,-3.20,55.32
314,WMO03171,-2.87,56.38
315,WMO03177,-2.40,56.43
316,WMO03185,-2.13,55.92
317,WMO03204,-4.63,54.08
318,WMO03222,-2.95,54.93
319,WMO03240,-1.60,55.42
320,WMO03257,-1.53,54.30
321,WMO03262,-1.42,55.02
322,WMO03282,-0.60,54.48
323,WMO03302,-4.53,53.25
324,WMO03318,-3.03,53.77
325,WMO03334,-2.27,53.35
326,WMO03360,-1.00,53.48
327,WMO03377,-0.52,53.17
328,WMO03396,0.12,53.57
329,WMO03414,-2.67,52.80
330,WMO03496,1.68,52.68
331,WMO03502,-4.57,52.13
332,WMO03534,-1.73,52.45
333,WMO03558,-0.48,52.22
334,WMO03586,0.77,52.33
335,WMO03590,0.97,52.12
336,WMO03603,-5.12,51.88
337,WMO03715,-3.35,51.40
338,WMO03740,-1.98,51.50
339,WMO03772,-0.45,51.47
340,WMO03776,-0.18,51.15
341,WMO03797,1.35,51.35
342,WMO03804,-6.30,49.93
343,WMO03817,-5.00,50.43
344,WMO03827,-4.12,50.35
345,WMO03839,-3.42,50.73
346,WMO03855,-2.45,50.52
347,WMO03862,-1.83,50.78
348,WMO03884,0.33,50.87
349,WMO03894,-2.60,49.43
350,WMO03905,-7.32,54.67
351,WMO03917,-6.22,54.65
352,WMO03952,-8.25,51.80
353,WMO03953,-10.25,51.93
354,WMO03955,-8.48,51.85
355,WMO03957,-6.33,52.25
356,WMO03960,-7.27,52.67
357,WMO03962,-8.92,52.70
358,WMO03964,-9.02,53.28
359,WMO03965,-7.88,53.08
360,WMO03969,-6.25,53.43
361,WMO03970,-8.98,53.72
362,WMO03971,-7.37,53.53
363,WMO03974,-7.23,54.18
364,WMO03976,-10.00,54.23
365,WMO03980,-7.33,55.37
366,WMO04004,-23.93,64.90
367,WMO04005,-23.57,66.17
368,WMO04013,-22.73,65.08
369,WMO04014,-22.72,63.82
370,WMO04018,-22.60,63.97
371,WMO04023,-22.38,66.42
372,WMO04030,-21.90,64.13
373,WMO04038,-21.15,63.87
374,WMO04045,-20.30,65.63
375,WMO04048,-20.28,63.40
376,WMO04053,-19.62,65.70
377,WMO04056,-19.57,64.87
378,WMO04063,-18.08,65.68
379,WMO04064,-18.07,63.78
380,WMO04065,-18.02,66.53
381,WMO04073,-16.12,65.63
382,WMO04077,-15.95,66.45
383,WMO04082,-15.18,64.25
384,WMO04085,-14.83,65.75
385,WMO04089,-14.38,65.28
386,WMO04097,-13.58,65.27
387,WMO04202,-68.83,76.52
388,WMO04210,-56.17,72.78
389,WMO04216,-51.05,69.22
390,WMO04220,-52.75,68.70
391,WMO04230,-53.67,66.92
392,WMO04231,-50.80,67.00
393,WMO04240,-52.87,65.40
394,WMO04250,-51.75,64.17
395,WMO04260,-49.72,62.00
396,WMO04261,-48.12,61.22
397,WMO04270,-45.42,61.18
398,WMO04272,-46.05,60.72
399,WMO04339,-21.97,70.48
400,WMO04360,-37.63,65.60
401,WMO06009,-6.67,61.40
402,WMO06011,-6.77,62.02
403,WMO06030,9.87,57.10
404,WMO06041,10.65,57.77
405,WMO06052,8.22,56.70
406,WMO06053,9.25,56.95
407,WMO06054,8.45,56.40
408,WMO06059,8.10,56.05
409,WMO06060,9.13,56.28
410,WMO06070,10.62,56.30
411,WMO06071,10.97,56.45
412,WMO06073,10.52,56.10
413,WMO06074,10.17,56.20
414,WMO06087,11.90,56.75
415,WMO06089,8.40,55.50
416,WMO06099,8.57,55.08
417,WMO06104,9.15,55.73
418,WMO06110,9.27,55.23
419,WMO06115,8.83,54.90
420,WMO06119,9.98,54.85
421,WMO06120,10.33,55.47
422,WMO06147,12.78,54.80
423,WMO06151,11.13,55.17
424,WMO06152,11.68,55.35
425,WMO06179,12.55,54.95
426,WMO06180,12.67,55.63
427,WMO06191,15.18,55.32
428,WMO06193,14.78,55.30
429,WMO06200,4.35,52.03
430,WMO06210,4.42,52.18
431,WMO06225,4.57,52.47
432,WMO06235,4.78,52.92
433,WMO06240,4.77,52.30
434,WMO06250,5.22,53.37
435,WMO06260,5.18,52.10
436,WMO06265,5.27,52.13
437,WMO06268,5.43,52.53
438,WMO06270,5.77,53.22
439,WMO06275,5.88,52.07
440,WMO06280,6.58,53.13
441,WMO06290,6.90,52.28
442,WMO06300,2.57,51.65
443,WMO06310,3.60,51.45
444,WMO06325,3.93,51.65
445,WMO06330,4.12,51.98
446,WMO06344,4.43,51.95
447,WMO06350,4.93,51.57
448,WMO06370,5.42,51.45
449,WMO06375,5.70,51.65
450,WMO06380,5.77,50.92
451,WMO06400,2.65,51.08
452,WMO06404,2.43,51.40
453,WMO06407,2.87,51.20
454,WMO06408,2.92,51.23
455,WMO06428,3.73,50.93
456,WMO06431,3.82,51.18
457,WMO06432,3.83,50.57
458,WMO06447,4.35,50.80
459,WMO06449,4.45,50.47
460,WMO06450,4.47,51.20
461,WMO06451,4.47,50.90
462,WMO06452,4.50,51.33
463,WMO06456,4.65,50.23
464,WMO06458,4.77,50.75
465,WMO06463,4.95,50.78
466,WMO06465,5.07,51.00
467,WMO06470,5.20,50.80
468,WMO06473,5.25,50.27
469,WMO06476,5.40,50.03
470,WMO06478,5.45,50.65
471,WMO06479,5.47,51.17
472,WMO06480,5.57,49.55
473,WMO06481,5.50,50.93
474,WMO06490,5.92,50.48
475,WMO06495,6.10,50.50
476,WMO06590,6.22,49.62
477,WMO06610,6.95,46.82
478,WMO06612,6.80,47.08
479,WMO06643,7.78,47.25
480,WMO06660,8.57,47.38
481,WMO06670,8.53,47.48
482,WMO06672,8.63,46.87
483,WMO06680,9.35,47.25
484,WMO06700,6.13,46.25
485,WMO06702,6.10,46.43
486,WMO06720,7.33,46.22
487,WMO06724,7.48,46.32
488,WMO06730,7.98,46.55
489,WMO06750,8.62,46.65
490,WMO06753,8.68,46.52
491,WMO06760,8.78,46.17
492,WMO06762,8.88,46.17
493,WMO06770,8.97,46.00
494,WMO06782,8.85,46.70
495,WMO06786,9.53,46.87
496,WMO06792,9.88,46.53
497,WMO06794,10.07,46.35
498,WMO06990,9.53,47.13
499,WMO07002,1.60,50.73
500,WMO07005,1.83,50.13
501,WMO07010,2.33,51.05
502,WMO07015,3.10,50.57
503,WMO07017,3.15,50.22
504,WMO07020,-1.93,49.72
505,WMO07024,-1.47,49.65
506,WMO07027,-0.45,49.18
507,WMO07028,0.07,49.52
508,WMO07031,0.17,49.37
509,WMO07037,1.18,49.38
510,WMO07038,1.22,49.02
511,WMO07040,1.10,49.93
512,WMO07055,2.12,49.45
513,WMO07057,2.52,49.25
514,WMO07061,3.20,49.82
515,WMO07070,4.03,49.30
516,WMO07090,6.13,49.08
517,WMO07100,-5.13,48.47
518,WMO07103,-4.73,48.03
519,WMO07110,-4.42,48.45
520,WMO07119,-3.33,48.23
521,WMO07121,-3.00,48.85
522,WMO07125,-2.07,48.58
523,WMO07127,-1.85,48.72
524,WMO07130,-1.73,48.07
525,WMO07133,-1.62,48.83
526,WMO07139,0.10,48.45
527,WMO07140,1.38,48.05
528,WMO07143,1.52,48.47
529,WMO07147,2.20,48.77
530,WMO07149,2.40,48.73
531,WMO07150,2.45,48.97
532,WMO07157,2.53,49.02
533,WMO07168,4.02,48.33
534,WMO07169,4.90,48.63
535,WMO07179,5.98,48.78
536,WMO07180,6.22,48.68
537,WMO07181,5.97,48.58
538,WMO07186,7.30,48.77
539,WMO07190,7.63,48.55
540,WMO07197,7.40,47.92
541,WMO07200,-4.37,47.80
542,WMO07201,-4.17,47.97
543,WMO07205,-3.45,47.77
544,WMO07207,-3.22,47.30
545,WMO07217,-2.17,47.32
546,WMO07222,-1.60,47.17
547,WMO07230,-0.57,47.50
548,WMO07240,0.72,47.45
549,WMO07249,1.75,47.98
550,WMO07255,2.37,47.07
551,WMO07257,2.65,47.05
552,WMO07260,3.10,47.00
553,WMO07265,3.55,47.80
554,WMO07270,3.93,47.07
555,WMO07280,5.08,47.27
556,WMO07283,5.32,47.83
557,WMO07288,5.98,47.25
558,WMO07292,6.35,47.78
559,WMO07295,6.87,47.63
560,WMO07299,7.52,47.60
561,WMO07300,-2.33,46.70
562,WMO07314,-1.42,46.03
563,WMO07315,-1.15,46.15
564,WMO07335,0.32,46.58
565,WMO07354,1.72,46.85
566,WMO07374,3.40,46.17
567,WMO07379,4.02,46.42
568,WMO07382,4.43,46.65
569,WMO07385,4.80,46.30
570,WMO07400,-1.23,45.70
571,WMO07412,-0.32,45.67
572,WMO07428,0.82,45.20
573,WMO07434,1.18,45.87
574,WMO07442,2.97,45.77
575,WMO07460,3.17,45.78
576,WMO07470,3.90,45.05
577,WMO07477,4.38,45.93
578,WMO07480,4.95,45.72
579,WMO07481,5.08,45.73
580,WMO07486,5.33,45.37
581,WMO07491,5.88,45.65
582,WMO07497,6.77,45.62
583,WMO07500,-1.25,44.63
584,WMO07502,-1.13,44.53
585,WMO07503,-1.25,44.43
586,WMO07510,-0.70,44.83
587,WMO07524,0.60,44.18
588,WMO07535,1.40,44.75
589,WMO07549,2.42,44.88
590,WMO07558,3.02,44.12
591,WMO07577,4.73,44.58
592,WMO07579,4.83,44.13
593,WMO07587,5.70,44.68
594,WMO07588,6.00,44.07
595,WMO07591,6.50,44.57
596,WMO07602,-1.53,43.47
597,WMO07603,-1.07,43.68
598,WMO07607,-0.50,43.92
599,WMO07610,-0.42,43.38
600,WMO07621,0.00,43.18
601,WMO07627,1.10,43.00
602,WMO07630,1.37,43.63
603,WMO07635,2.32,43.22
604,WMO07640,2.12,43.92
605,WMO07641,3.68,43.40
606,WMO07643,3.97,43.58
607,WMO07645,4.40,43.87
608,WMO07646,4.42,43.75
609,WMO07647,4.93,43.52
610,WMO07650,5.22,43.45
611,WMO07653,5.05,43.33
612,WMO07660,5.93,43.10
613,WMO07667,6.15,43.10
614,WMO07670,6.23,43.00
615,WMO07690,7.20,43.65
616,WMO07695,7.33,43.68
617,WMO07720,0.15,42.93
618,WMO07747,2.87,42.73
619,WMO07749,3.13,42.52
620,WMO07756,8.68,42.52
621,WMO07761,8.80,41.92
622,WMO07765,9.40,41.92
623,WMO07768,9.37,41.60
624,WMO07770,9.18,41.37
625,WMO07780,9.10,41.50
626,WMO07785,9.37,43.00
627,WMO07790,9.48,42.55
628,WMO07791,9.48,42.80
629,WMO08001,-8.42,43.37
630,WMO08008,-7.48,43.25
631,WMO08015,-5.87,43.35
632,WMO08023,-3.82,43.47
633,WMO08027,-2.05,43.32
634,WMO08045,-8.63,42.23
635,WMO08055,-5.65,42.58
636,WMO08075,-3.63,42.37
637,WMO08084,-2.33,42.45
638,WMO08141,-4.75,41.50
639,WMO08160,-1.02,41.67
640,WMO08181,2.07,41.28
641,WMO08202,-5.50,40.95
642,WMO08221,-3.58,40.45
643,WMO08233,-1.30,40.87
644,WMO08238,0.50,40.82
645,WMO08261,-6.37,39.48
646,WMO08280,-1.85,38.95
647,WMO08284,-0.47,39.50
